id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,umpire1,umpire2,result_margin_zscore
335982,2007/08,2,2008-04-18,League,BB McCullum,23,16,8,16,field,8,runs,140.0,223.0,20.0,N,Asad Rauf,RE Koertzen,5.668781086125962
335983,2007/08,7,2008-04-19,League,MEK Hussey,40,6,0,0,bat,0,runs,33.0,241.0,20.0,N,MR Benson,SL Shastri,0.7390129147898107
335984,2007/08,10,2008-04-19,League,MF Maharoof,16,3,13,13,bat,3,wickets,9.0,130.0,20.0,N,Aleem Dar,GA Pratapkumar,-0.36672947878091483
335985,2007/08,26,2008-04-20,League,MV Boucher,55,10,16,10,bat,17,wickets,5.0,166.0,20.0,N,SJ Davis,DJ Harper,-0.5510198777093691
335986,2007/08,23,2008-04-20,League,DJ Hussey,14,8,1,1,bat,8,wickets,5.0,111.0,20.0,N,BF Bowden,K Hariharan,-0.5510198777093691
335987,2007/08,18,2008-04-21,League,SR Watson,46,13,6,6,bat,14,wickets,6.0,167.0,20.0,N,Aleem Dar,RB Tiffin,-0.5049472779772556
335988,2007/08,16,2008-04-22,League,V Sehwag,42,1,3,1,bat,3,wickets,9.0,143.0,20.0,N,IL Howell,AM Saheba,-0.36672947878091483
335989,2007/08,8,2008-04-23,League,ML Hayden,27,0,10,10,field,0,runs,6.0,209.0,20.0,N,DJ Harper,GA Pratapkumar,-0.5049472779772556
335990,2007/08,16,2008-04-24,League,YK Pathan,42,1,13,13,field,14,wickets,3.0,215.0,20.0,N,Asad Rauf,MR Benson,-0.6431650771735963
335991,2007/08,7,2008-04-25,League,KC Sangakkara,40,6,10,10,field,6,runs,66.0,183.0,20.0,N,Aleem Dar,AM Saheba,2.259408705949558
335992,2007/08,2,2008-04-26,League,SR Watson,23,16,13,13,field,14,wickets,7.0,136.0,20.0,N,MR Benson,IL Howell,-0.458874678245142
335993,2007/08,8,2008-04-26,League,JDP Oram,27,0,8,8,bat,0,wickets,9.0,148.0,20.0,N,BF Bowden,AV Jayaprakash,-0.36672947878091483
335994,2007/08,26,2008-04-27,League,AC Gilchrist,9,10,1,1,field,1,wickets,10.0,155.0,20.0,N,Asad Rauf,SL Shastri,-0.3206568790488013
335995,2007/08,7,2008-04-27,League,SM Katich,40,6,3,3,bat,6,wickets,4.0,159.0,20.0,N,RE Koertzen,I Shivram,-0.5970924774414826
335996,2007/08,2,2008-04-28,League,MS Dhoni,23,16,0,0,bat,0,runs,13.0,179.0,20.0,N,BR Doctrove,RB Tiffin,-0.18243907985246058
335997,2007/08,23,2008-04-29,League,ST Jayasuriya,14,8,10,8,bat,10,wickets,7.0,138.0,20.0,N,BF Bowden,AV Jayaprakash,-0.458874678245142
335998,2007/08,10,2008-04-30,League,GD McGrath,16,3,16,16,field,3,runs,10.0,192.0,20.0,N,Aleem Dar,I Shivram,-0.3206568790488013
335999,2007/08,16,2008-05-01,League,SE Marsh,42,1,6,6,field,6,wickets,7.0,165.0,20.0,N,BR Doctrove,RB Tiffin,-0.458874678245142
336000,2007/08,18,2008-05-01,League,SA Asnodkar,46,13,8,13,bat,14,runs,45.0,197.0,20.0,N,RE Koertzen,GA Pratapkumar,1.2918841115751736
336001,2007/08,8,2008-05-02,League,V Sehwag,27,0,3,0,bat,3,wickets,8.0,170.0,20.0,N,BF Bowden,K Hariharan,-0.4128020785130284
336003,2007/08,7,2008-05-03,League,IK Pathan,40,6,8,6,bat,6,runs,9.0,179.0,20.0,N,DJ Harper,I Shivram,-0.36672947878091483
336034,2007/08,2,2008-05-03,League,P Kumar,23,16,1,1,field,17,runs,3.0,157.0,20.0,N,BR Doctrove,SL Shastri,-0.6431650771735963
336004,2007/08,26,2008-05-04,League,SM Pollock,9,10,3,3,field,10,runs,29.0,163.0,20.0,N,IL Howell,RE Koertzen,0.5547225158613565
336005,2007/08,18,2008-05-04,League,Sohail Tanvir,46,13,0,0,bat,14,wickets,8.0,110.0,20.0,N,Asad Rauf,AV Jayaprakash,-0.4128020785130284
336006,2007/08,2,2008-05-05,League,S Sreesanth,23,16,6,6,field,6,wickets,6.0,127.0,20.0,N,SJ Davis,BR Doctrove,-0.5049472779772556
336007,2007/08,8,2008-05-06,League,AC Gilchrist,27,0,1,1,field,1,wickets,7.0,145.0,20.0,N,MR Benson,RB Tiffin,-0.458874678245142
336008,2007/08,26,2008-05-07,League,A Nehra,9,10,13,10,field,10,wickets,7.0,104.0,20.0,N,DJ Harper,RE Koertzen,-0.458874678245142
336009,2007/08,10,2008-05-08,League,MS Dhoni,16,3,0,0,field,0,wickets,4.0,188.0,20.0,N,Aleem Dar,RB Tiffin,-0.5970924774414826
336010,2007/08,23,2008-05-08,League,SC Ganguly,14,8,16,8,bat,8,runs,5.0,130.0,16.0,N,Asad Rauf,IL Howell,-0.5510198777093691
336011,2007/08,18,2008-05-09,League,YK Pathan,46,13,1,13,field,14,wickets,8.0,141.0,20.0,N,MR Benson,AM Saheba,-0.4128020785130284
336013,2007/08,8,2008-05-10,League,L Balaji,27,0,6,6,field,0,runs,18.0,182.0,20.0,N,AV Jayaprakash,BG Jerling,0.04792391880810724
336014,2007/08,16,2008-05-11,League,SC Ganguly,42,1,8,8,bat,8,runs,23.0,205.0,20.0,N,IL Howell,AM Saheba,0.27828691746867507
336015,2007/08,18,2008-05-11,League,SR Watson,46,13,3,13,field,14,wickets,3.0,157.0,20.0,N,SJ Davis,RE Koertzen,-0.6431650771735963
336016,2007/08,7,2008-05-12,League,SE Marsh,40,6,16,16,bat,6,wickets,9.0,144.0,20.0,N,BR Doctrove,I Shivram,-0.36672947878091483
336017,2007/08,23,2008-05-13,League,Shoaib Akhtar,14,8,3,8,bat,8,runs,23.0,134.0,20.0,N,Asad Rauf,IL Howell,0.27828691746867507
336018,2007/08,26,2008-05-14,League,ST Jayasuriya,55,10,0,10,field,10,wickets,9.0,157.0,20.0,N,BR Doctrove,AM Saheba,-0.36672947878091483
336020,2007/08,10,2008-05-15,League,A Mishra,16,3,1,1,field,3,runs,12.0,195.0,20.0,N,BG Jerling,GA Pratapkumar,-0.22851167958457416
336021,2007/08,26,2008-05-16,League,SM Pollock,55,10,8,10,field,10,wickets,8.0,68.0,20.0,N,BR Doctrove,DJ Harper,-0.4128020785130284
336022,2007/08,10,2008-05-17,League,DPMD Jayawardene,16,3,6,3,bat,6,runs,6.0,89.0,8.0,N,AV Jayaprakash,RE Koertzen,-0.5049472779772556
336023,2007/08,18,2008-05-17,League,GC Smith,46,13,16,16,field,14,runs,65.0,198.0,20.0,N,BF Bowden,SL Shastri,2.2133361062174446
336024,2007/08,16,2008-05-18,League,DJ Bravo,42,1,10,1,field,10,runs,25.0,179.0,20.0,N,BR Doctrove,DJ Harper,0.3704321169329022
336025,2007/08,23,2008-05-18,League,M Ntini,14,8,0,8,bat,0,runs,3.0,53.0,8.0,N,Asad Rauf,K Hariharan,-0.6431650771735963
336026,2007/08,2,2008-05-19,League,SP Goswami,23,16,3,3,field,3,wickets,5.0,155.0,20.0,N,SJ Davis,GA Pratapkumar,-0.5510198777093691
336027,2007/08,23,2008-05-20,League,YK Pathan,14,8,13,13,field,14,wickets,6.0,148.0,20.0,N,BG Jerling,RE Koertzen,-0.5049472779772556
336028,2007/08,26,2008-05-21,League,SE Marsh,55,10,6,10,field,6,runs,1.0,190.0,20.0,N,BF Bowden,GA Pratapkumar,-0.7353102766378233
336029,2007/08,8,2008-05-21,League,A Kumble,27,0,16,16,bat,17,runs,14.0,127.0,20.0,N,DJ Harper,I Shivram,-0.13636648012034702
336031,2007/08,7,2008-05-23,League,SE Marsh,40,6,1,6,field,6,wickets,6.0,176.0,20.0,N,Asad Rauf,SJ Davis,-0.5049472779772556
336032,2007/08,10,2008-05-24,League,KD Karthik,16,3,10,3,field,3,wickets,5.0,177.0,20.0,N,BF Bowden,K Hariharan,-0.5510198777093691
336033,2007/08,8,2008-05-24,League,JA Morkel,27,0,13,13,bat,14,runs,10.0,212.0,20.0,N,DJ Harper,SL Shastri,-0.3206568790488013
336002,2007/08,16,2008-05-25,League,R Vinay Kumar,42,1,16,1,bat,17,wickets,5.0,166.0,20.0,N,Asad Rauf,RE Koertzen,-0.5510198777093691
336035,2007/08,23,2008-05-25,League,Umar Gul,14,8,6,6,bat,8,wickets,3.0,175.0,20.0,N,SJ Davis,I Shivram,-0.6431650771735963
336036,2007/08,18,2008-05-26,League,Sohail Tanvir,46,13,10,13,field,14,wickets,5.0,146.0,20.0,N,BF Bowden,K Hariharan,-0.5510198777093691
336037,2007/08,16,2008-05-27,League,SK Raina,42,1,0,1,bat,0,wickets,7.0,148.0,20.0,N,BG Jerling,AM Saheba,-0.458874678245142
336012,2007/08,2,2008-05-28,League,CRD Fernando,23,16,10,10,field,10,wickets,9.0,123.0,18.0,N,BF Bowden,AV Jayaprakash,-0.36672947878091483
336019,2007/08,7,2008-05-28,League,SE Marsh,40,6,13,13,field,6,runs,41.0,222.0,20.0,N,SJ Davis,K Hariharan,1.1075937126467192
336038,2007/08,26,2008-05-30,Semi Final,SR Watson,55,3,13,3,field,14,runs,105.0,193.0,20.0,N,BF Bowden,RE Koertzen,4.0562400955019875
